Run,Variety,Soil.depth,Rep,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,Sloan,0inch,1,0,0,0,0,1,4,5,6,7,7,7,7,8,8,8,8,8,8,8,8,8
1,Sloan,0inch,2,0,0,0,0,1,6,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
1,Sloan,0inch,3,0,0,0,0,2,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10
1,Sloan,0inch,4,0,0,0,0,1,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
1,Sloan,0inch,5,0,0,0,0,1,6,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9
1,Sloan,1inch,1,0,0,0,0,0,3,6,8,8,9,9,9,9,9,9,9,9,9,9,9,9
1,Sloan,1inch,2,0,0,0,0,0,2,3,4,5,5,5,5,6,6,6,6,6,6,6,6,6
1,Sloan,1inch,3,0,0,0,0,0,0,4,5,6,6,6,6,6,8,8,8,8,8,8,8,8
1,Sloan,1inch,4,0,0,0,0,0,1,5,7,7,7,7,7,7,7,7,7,7,7,8,9,9
1,Sloan,1inch,5,0,0,0,0,0,1,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,Sloan,2inch,1,0,0,0,0,0,0,1,4,5,6,6,6,6,6,6,6,6,6,6,6,6
1,Sloan,2inch,2,0,0,0,0,0,0,0,2,3,4,4,5,6,6,6,6,6,6,6,6,6
1,Sloan,2inch,3,0,0,0,0,0,0,0,4,5,5,6,6,6,6,6,6,6,6,6,6,6
1,Sloan,2inch,4,0,0,0,0,0,0,2,4,4,5,7,8,8,8,9,9,9,10,10,10,10
1,Sloan,2inch,5,0,0,0,0,0,0,3,7,8,8,8,9,10,10,10,10,10,10,10,10,10
1,Sloan,3inch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,Sloan,3inch,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2
1,Sloan,3inch,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3
1,Sloan,3inch,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,Sloan,3inch,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Com,0inch,1,0,0,0,0,1,4,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8
1,Com,0inch,2,0,0,0,0,3,5,5,5,6,6,6,6,8,8,9,10,10,10,10,10,10
1,Com,0inch,3,0,0,0,0,2,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9
1,Com,0inch,4,0,0,0,0,2,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7
1,Com,0inch,5,0,0,0,0,1,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8
1,Com,1inch,1,0,0,0,0,0,2,7,9,9,9,9,9,9,9,9,10,10,10,10,10,10
1,Com,1inch,2,0,0,0,0,0,2,6,7,7,7,8,8,9,9,9,10,10,10,10,10,10
1,Com,1inch,3,0,0,0,0,0,2,5,7,7,7,7,8,8,8,8,8,8,8,8,8,8
1,Com,1inch,4,0,0,0,0,0,1,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8
1,Com,1inch,5,0,0,0,0,0,4,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9
1,Com,2inch,1,0,0,0,0,0,0,3,6,8,8,8,8,8,9,9,9,9,9,9,9,9
1,Com,2inch,2,0,0,0,0,0,0,1,7,7,7,7,7,8,8,9,9,9,9,9,9,9
1,Com,2inch,3,0,0,0,0,0,0,1,4,6,9,9,9,9,9,9,9,9,10,10,10,10
1,Com,2inch,4,0,0,0,0,0,0,2,3,7,9,9,9,9,9,9,9,9,9,9,9,9
1,Com,2inch,5,0,0,0,0,0,0,0,4,5,6,8,9,9,9,9,9,9,9,9,9,9
1,Com,3inch,1,0,0,0,0,0,0,0,0,1,1,2,4,4,4,6,6,7,7,7,7,8
1,Com,3inch,2,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,7,7,7,7,7,7
1,Com,3inch,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
1,Com,3inch,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,Com,3inch,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2,Sloan,0inch,1,0,0,0,0,2,3,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7
2,Sloan,0inch,2,0,0,0,0,3,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9
2,Sloan,0inch,3,0,0,0,0,1,4,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8
2,Sloan,0inch,4,0,0,0,0,1,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
2,Sloan,0inch,5,0,0,0,0,1,4,5,6,6,6,6,6,6,7,7,7,7,8,8,8,8
2,Sloan,1inch,1,0,0,0,0,0,3,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,Sloan,1inch,2,0,0,0,0,0,3,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10
2,Sloan,1inch,3,0,0,0,0,0,2,4,7,7,8,8,8,8,9,9,9,9,9,9,9,9
2,Sloan,1inch,4,0,0,0,0,0,1,3,7,7,7,7,8,8,8,8,8,8,8,8,8,8
2,Sloan,1inch,5,0,0,0,0,0,2,4,6,7,8,8,8,8,9,9,9,9,9,9,9,9
2,Sloan,2inch,1,0,0,0,0,0,0,1,5,6,6,6,6,6,6,6,6,6,7,7,7,7
2,Sloan,2inch,2,0,0,0,0,0,0,3,3,5,6,6,7,7,7,7,7,7,7,7,8,8
2,Sloan,2inch,3,0,0,0,0,0,0,0,0,3,3,3,4,5,5,6,6,6,6,6,7,7
2,Sloan,2inch,4,0,0,0,0,0,0,0,3,5,6,6,6,6,7,7,7,7,7,7,7,7
2,Sloan,2inch,5,0,0,0,0,0,0,1,3,4,4,4,5,6,6,8,8,8,8,8,8,8
2,Sloan,3inch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3
2,Sloan,3inch,2,0,0,0,0,0,0,0,0,2,2,4,5,6,6,6,6,6,6,6,6,6
2,Sloan,3inch,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,6,8,8
2,Sloan,3inch,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3
2,Sloan,3inch,5,0,0,0,0,0,0,0,0,0,1,1,3,5,5,5,6,7,7,7,7,7
2,Com,0inch,1,0,0,0,0,1,4,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
2,Com,0inch,2,0,0,0,0,2,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2,Com,0inch,3,0,0,0,0,1,5,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10
2,Com,0inch,4,0,0,0,0,2,5,7,8,8,8,9,9,9,9,9,9,9,10,10,10,10
2,Com,0inch,5,0,0,0,0,1,4,6,6,6,6,6,7,9,9,9,9,9,9,9,9,9
2,Com,1inch,1,0,0,0,0,0,3,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10
2,Com,1inch,2,0,0,0,0,0,1,5,6,7,8,8,9,9,9,9,9,9,10,10,10,10
2,Com,1inch,3,0,0,0,0,0,2,5,8,8,9,9,9,9,9,9,9,9,9,9,9,9
2,Com,1inch,4,0,0,0,0,0,3,4,8,8,9,9,9,9,9,9,9,9,10,10,10,10
2,Com,1inch,5,0,0,0,0,0,3,7,8,8,8,8,8,8,9,9,9,9,10,10,10,10
2,Com,2inch,1,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
2,Com,2inch,2,0,0,0,0,0,0,2,6,6,6,6,7,7,8,8,8,8,8,8,8,9
2,Com,2inch,3,0,0,0,0,0,0,0,1,2,3,4,5,7,7,7,8,8,8,8,8,8
2,Com,2inch,4,0,0,0,0,0,0,3,6,8,9,9,10,10,10,10,10,10,10,10,10,10
2,Com,2inch,5,0,0,0,0,0,0,4,5,6,6,7,7,8,8,8,8,8,8,8,8,9
2,Com,3inch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
2,Com,3inch,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2
2,Com,3inch,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
2,Com,3inch,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4
2,Com,3inch,5,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,5,5,5,5,5
